"","V1"
"mcaseid","case identification"
"mv000","country code and phase"
"mv001","cluster number"
"mv002","household number"
"mv003","respondent's line number"
"mv004","ultimate area unit"
"mv005","men's sample weight (6 decimals)"
"mv006","month of interview"
"mv007","year of interview"
"mv008","date of interview (cmc)"
"mv008a","date of interview century day code (cdc)"
"mv009","month of birth"
"mv010","year of birth"
"mv011","date of birth (cmc)"
"mv012","current age"
"mv013","age in 5-year groups"
"mv014","completeness of age information"
"mv015","result of interview"
"mv016","day of interview"
"mv021","primary sampling unit"
"mv022","sample stratum number"
"mv023","sample domain"
"mv024","province"
"mv025","type of place of residence"
"mv026","na - de facto place of residence"
"mv027","number of visits"
"mv028","interviewer identification"
"mv029","na - keyer identification"
"mv030","field supervisor"
"mv031","na - field editor"
"mv032","na - office editor"
"mv034_1","line number of wife/partner"
"mv034_2","line number of wife/partner"
"mv034_3","line number of wife/partner"
"mv034_4","line number of wife/partner"
"mv034_5","line number of wife/partner"
"mv034_6","line number of wife/partner"
"mv034_7","line number of wife/partner"
"mv034_8","line number of wife/partner"
"mv034a_1","na - wife or partner"
"mv034a_2","na - wife or partner"
"mv034a_3","na - wife or partner"
"mv034a_4","na - wife or partner"
"mv034a_5","na - wife or partner"
"mv034a_6","na - wife or partner"
"mv034a_7","na - wife or partner"
"mv034a_8","na - wife or partner"
"mv034b_1","age of wife/partner"
"mv034b_2","age of wife/partner"
"mv034b_3","age of wife/partner"
"mv034b_4","age of wife/partner"
"mv034b_5","age of wife/partner"
"mv034b_6","age of wife/partner"
"mv034b_7","age of wife/partner"
"mv034b_8","age of wife/partner"
"mv035","number of wives/partners"
"mv045a","language of questionnaire"
"mv045b","language of interview"
"mv045c","native language of respondent"
"mv046","translator used"
"mv047","team number"
"mv048","na - team supervisor"
"mv801","time interview started (hhmm - 24 hour clock)"
"mv802","time interview ended (hhmm - 24 hour clock)"
"mv803","length of interview in minutes"
"mv101","province"
"mv102","type of place of residence"
"mv103","na - childhood place of residence"
"mv104","years lived in place of residence"
"mv105","type of place of previous residence"
"mv105a","region of previous residence"
"mv106","educational level"
"mv107","highest year of education (at level in mv106)"
"mv130","religion"
"mv131","ethnicity"
"mv133","years of education in single years"
"mv134","na - de facto place of residence"
"mv135","usual resident or visitor"
"mv136","number of household members (total listed)"
"mv138","number of eligible men in household (de facto)"
"mv149","educational attainment"
"mv150","relationship to household head"
"mv151","sex of household head"
"mv152","age of household head"
"mv155","literacy"
"mv156","na - ever participated in a literacy program (excluding primary school)"
"mv157","frequency of reading newspaper or magazine"
"mv158","frequency of listening to radio"
"mv159","frequency of watching television"
"mv167","na - times away from home in last 12 months"
"mv168","na - away for more than one month in last 12 months"
"mv169a","owns a mobile telephone"
"mv169b","last 12 months use mobile telephone for financial transactions"
"mv169c","is respondent's mobile phone a smart phone"
"mv170","has an account in a bank or other financial institution"
"mv171a","use of internet"
"mv171b","frequency of using internet last month"
"mv172","respondent state of birth"
"mv173","respondent country of birth"
"mv174m","month move to current place of residence"
"mv174y","year move to current place of residence"
"mv175","reason for moving to current place of residence"
"mv176","self reported health status"
"mv177","money put/taken from bank account last 12 months"
"mv190","wealth index combined"
"mv191","wealth index factor score combined (5 decimals)"
"mv190a","wealth index for urban/rural"
"mv191a","wealth index factor score for urban/rural (5 decimals)"
"mv201","total children ever born"
"mv202","sons at home"
"mv203","daughters at home"
"mv204","sons elsewhere"
"mv205","daughters elsewhere"
"mv206","sons who have died"
"mv207","daughters who have died"
"mv212","age of respondent at 1st birth"
"mv213","partner currently pregnant"
"mv217","knowledge of ovulatory cycle"
"mv218","number of living children"
"mv225","na - most recent pregnancy wanted"
"mv245","number of women fathered children with"
"mv246","na - married to mother when first child was born"
"mv247","age of most recent child"
"mv248","antenatal check-ups for the mother of most recent child"
"mv249","respondent present during check-ups for most recent child"
"mv250","place of birth of most recent child"
"mv251","na - reason for not delivering most recent child in health facility"
"mv252","na - amount a child should drink, when that child has diarrhea"
"mv253","did go with child's mother to health facility for birth"
"mv301","knowledge of any contraceptive method"
"mv302","na - ever use of any contraceptive method"
"m304a_01","type of contraceptive method"
"m304a_02","type of contraceptive method"
"m304a_03","type of contraceptive method"
"m304a_04","type of contraceptive method"
"m304a_05","type of contraceptive method"
"m304a_06","type of contraceptive method"
"m304a_07","type of contraceptive method"
"m304a_08","type of contraceptive method"
"m304a_09","type of contraceptive method"
"m304a_10","type of contraceptive method"
"m304a_11","type of contraceptive method"
"m304a_12","type of contraceptive method"
"m304a_13","type of contraceptive method"
"m304a_14","type of contraceptive method"
"m304a_15","type of contraceptive method"
"m304a_16","type of contraceptive method"
"m304a_17","type of contraceptive method"
"m304a_18","type of contraceptive method"
"m304a_19","type of contraceptive method"
"m304a_20","type of contraceptive method"
"mv304_01","knows contraceptive method"
"mv304_02","knows contraceptive method"
"mv304_03","knows contraceptive method"
"mv304_04","knows contraceptive method"
"mv304_05","knows contraceptive method"
"mv304_06","knows contraceptive method"
"mv304_07","knows contraceptive method"
"mv304_08","knows contraceptive method"
"mv304_09","knows contraceptive method"
"mv304_10","knows contraceptive method"
"mv304_11","knows contraceptive method"
"mv304_12","knows contraceptive method"
"mv304_13","knows contraceptive method"
"mv304_14","knows contraceptive method"
"mv304_15","knows contraceptive method"
"mv304_16","knows contraceptive method"
"mv304_17","knows contraceptive method"
"mv304_18","knows contraceptive method"
"mv304_19","knows contraceptive method"
"mv304_20","knows contraceptive method"
"mv305_01","na - ever used contraceptive method"
"mv305_02","na - ever used contraceptive method"
"mv305_03","na - ever used contraceptive method"
"mv305_04","na - ever used contraceptive method"
"mv305_05","na - ever used contraceptive method"
"mv305_06","na - ever used contraceptive method"
"mv305_07","na - ever used contraceptive method"
"mv305_08","na - ever used contraceptive method"
"mv305_09","na - ever used contraceptive method"
"mv305_10","na - ever used contraceptive method"
"mv305_11","na - ever used contraceptive method"
"mv305_12","na - ever used contraceptive method"
"mv305_13","na - ever used contraceptive method"
"mv305_14","na - ever used contraceptive method"
"mv305_15","na - ever used contraceptive method"
"mv305_16","na - ever used contraceptive method"
"mv305_17","na - ever used contraceptive method"
"mv305_18","na - ever used contraceptive method"
"mv305_19","na - ever used contraceptive method"
"mv305_20","na - ever used contraceptive method"
"mv307_01","contraceptive method currently used"
"mv307_02","contraceptive method currently used"
"mv307_03","contraceptive method currently used"
"mv307_04","contraceptive method currently used"
"mv307_05","contraceptive method currently used"
"mv307_06","contraceptive method currently used"
"mv307_07","contraceptive method currently used"
"mv307_08","contraceptive method currently used"
"mv307_09","contraceptive method currently used"
"mv307_10","contraceptive method currently used"
"mv307_11","contraceptive method currently used"
"mv307_12","contraceptive method currently used"
"mv307_13","contraceptive method currently used"
"mv307_14","contraceptive method currently used"
"mv307_15","contraceptive method currently used"
"mv307_16","contraceptive method currently used"
"mv307_17","contraceptive method currently used"
"mv307_18","contraceptive method currently used"
"mv307_19","contraceptive method currently used"
"mv307_20","contraceptive method currently used"
"mv312","current contraceptive method"
"mv312a","you/your partner used any method to avoid pregnancy during last intercourse"
"mv313","current contraceptive by method type"
"mv323a","na - brand of condom used"
"mv325b","na - cost of condoms (in currency) last time obtained"
"mv372a","na - interviewer shown condom package"
"mv384a","on radio heard about family planning in the last few months"
"mv384b","on tv saw about family planning in the last few months"
"mv384c","in newspaper read about family planning in the last few months"
"mv384d","heard family planning by text messages on mobile phone"
"mv384e","seen about family planning on facebook, twitter, instagram, others"
"mv384f","seen about family planning on poster, brochure"
"mv384g","seen about family planning on outdoor sign, billboard"
"mv384h","heard family planning at community meetings events"
"mv384i","na - heard/seen family planning cs"
"mv384j","na - heard/seen family planning cs"
"mv384k","na - heard/seen family planning cs"
"mv395","discussed family planning with health worker in last few months"
"mv396","na - possible for a breastfeeding woman to get pregnant"
"mv396a","can women get pregnant after birth of a child before period return"
"mv3a00y","source of family planning for non-users: no source"
"mv3a00z","source of family planning for non-users: any source"
"mv3a09b","na - number of condoms did get last time"
"mv3b17","na - source of condoms"
"mv3b25a","contraception is woman's business, man should not worry"
"mv3b25b","women who use contraception become promiscuous"
"mv463a","na - smokes cigarettes"
"mv463b","na - smokes pipe"
"mv463c","na - uses chewing tobacco"
"mv463d","na - uses snuff"
"mv463e","na - smokes/uses cs"
"mv463f","na - smokes/uses cs"
"mv463g","na - smokes/uses cs"
"mv463x","na - smokes/uses other"
"mv463z","na - smokes nothing"
"mv463aa","frequency currently smokes tobacco"
"mv463ab","frequency currently uses smokeless tobacco"
"mv463ac","in the past smoked tobacco every day"
"mv463ad","frequency in the past smoked tobacco"
"mv464","na - number of cigarettes in last 24 hours"
"mv464a","on average respondent smokes daily: manufactured cigarettes"
"mv464b","on average respondent smokes daily: hand roll cigarettes"
"mv464c","na - on average respondent smokes daily: kreteks"
"mv464d","on average respondent smokes daily: pipes full of tobacco"
"mv464e","on average respondent smokes daily: cigars, cheroots, cigarillos"
"mv464f","on average respondent smokes daily: water pipe sessions"
"mv464g","on average respondent smokes daily: others"
"mv464h","on average respondent uses daily: snuff by mouth"
"mv464i","on average respondent uses daily: snuff by nose"
"mv464j","on average respondent uses daily: chewing tobacco"
"mv464k","on average respondent uses daily: betel quid with tobacco"
"mv464l","on average respondent uses daily: any others"
"mv477","na - number of injections in last 12 months"
"mv478","na - number of injections administered by a health worker"
"mv479","na - place where given injection by health worker"
"mv480","na - syringe and needle from new, unopened package"
"mv481","covered by health insurance"
"mv481a","health insurance type: mutual/community organization"
"mv481b","health insurance type: provided by employer"
"mv481c","health insurance type: social security"
"mv481d","health insurance type: private/commercially purchased"
"mv481e","na - health insurance type: cs"
"mv481f","na - health insurance type: cs"
"mv481g","na - health insurance type: cs"
"mv481h","na - health insurance type: cs"
"mv481x","health insurance type: other"
"mv482a","na - arrange care of biological children under age 18"
"mv482b","na - primary caregiver of children under age 18"
"mv482c","na - arrange care of non-biological children < 18"
"mv483","na - respondent circumcised"
"mv483a","na - age at traditional circumcision"
"mv483b","na - who performed the circumcision"
"mv483c","na - place where circumcision was done"
"mv483d","na - is respondent traditionally circumcised"
"mv483e","na - is respondent medically circumcised"
"mv483f","na - age at medical circumcision"
"mv484a","on average respondent smokes weekly: manufactured cigarettes"
"mv484b","on average respondent smokes weekly: hand roll cigarettes"
"mv484c","na - on average respondent smokes weekly: kreteks"
"mv484d","on average respondent smokes weekly: pipes full of tobacco"
"mv484e","on average respondent smokes weekly: cigars, cheroots, cigarillos"
"mv484f","on average respondent smokes weekly: water pipe sessions"
"mv484g","on average respondent smokes weekly: others"
"mv484h","on average respondent uses weekly: snuff by mouth"
"mv484i","on average respondent uses weekly: snuff by nose"
"mv484j","on average respondent uses weekly: chewing tobacco"
"mv484k","on average respondent uses weekly: betel quid with tobacco"
"mv484l","on average respondent uses weekly: any others"
"mv485a","number of days respondent drank alcoholic drinks in the past month"
"mv485b","number of alcoholic drinks per day"
"mv501","current marital status"
"mv502","currently/formerly/never in union"
"mv503","number of unions"
"mv504","currently residing with wife/partner"
"mv505","number of wives/partners"
"mv507","month of first cohabitation"
"mv508","year of first cohabitation"
"mv509","date of first cohabitation (cmc)"
"mv510","completeness of date information in mv509"
"mv511","age at first cohabitation"
"mv512","years since first cohabitation"
"mv513","cohabitation duration (grouped)"
"mv525","age at first sex"
"mv527","time since last sex"
"mv528","time since last sex (in days)"
"mv529","time since last sex (in months)"
"mv531","age at first sex (imputed)"
"mv532","flag for mv531"
"mv535","ever been married or in union"
"mv536","recent sexual activity"
"mv541","na - intends to wait until marriage to have sex"
"mv602","fertility preference"
"mv603","preferred waiting time for birth of a/another child"
"mv604","preferred waiting time for birth of a/another child (grouped)"
"mv605","desire for more children"
"mv613","ideal number of children"
"mv614","ideal number of children (grouped)"
"mv616","desired time for future birth"
"mv621","na - wife's desire for children"
"mv627","ideal number of boys"
"mv628","ideal number of girls"
"mv629","ideal number of either sex"
"mv631","na - problem if wife became pregnant"
"mv633a","na - wife justified refusing sex: husband has sti"
"mv633b","wife justified refusing sex: husband has other women"
"mv633c","na - wife justified refusing sex: recent birth"
"mv633d","na - wife justified refusing sex: tired, not in mood"
"mv633e","na - wife justified refusing sex: cs reason"
"mv633f","na - wife justified refusing sex: cs reason"
"mv633g","na - wife justified refusing sex: cs reason"
"mv634a","na - wife refuses to have sex, husband has right to: get angry"
"mv634b","na - wife refuses to have sex, husband has right to: refuse financial support"
"mv634c","na - wife refuses to have sex, husband has right to: use force for sex"
"mv634d","na - wife refuses to have sex, husband has right to: have sex with another women"
"mv714","currently working"
"mv714a","have a job, but currently absent"
"mv716","occupation"
"mv717","occupation (grouped)"
"mv719","na - works for family, others, self"
"mv721","na - works at home or away"
"mv731","worked in last 12 months"
"mv732","employment all year/seasonal"
"mv739","person who usually decides how to spend respondent's earnings"
"mv740","na - type of land where respondent works"
"mv741","type of earnings from respondent's work"
"mv743a","person who usually decides on: respondent's health care"
"mv743b","person who usually decides on: large household purchases"
"mv743c","na - person who usually decides on: daily household purchases"
"mv743d","na - person who usually decides on: visits to family or relatives"
"mv743e","na - person who usually decides on: food to be cooked each day"
"mv743f","na - person who usually decides on: deciding what to do with money wife earns"
"mv743g","na - person who usually decides on: deciding how many children to have"
"mv744a","beating justified: wife goes out without telling husband"
"mv744b","beating justified: wife neglects the children"
"mv744c","beating justified: wife argues with husband"
